date,temperature,humidity,luminosity
2021-11-17 15:12:48.233,20.1,28.1,120
2021-11-17 15:12:45.955,20.1,28.1,119
2021-11-17 15:12:43.677,20.1,28.2,120
2021-11-17 15:12:41.400,20.1,28.2,119
2021-11-17 15:12:39.122,20.2,28.2,121
2021-11-17 15:12:36.844,20.2,28.3,119
2021-11-17 15:12:34.567,20.2,28.3,119
2021-11-17 15:12:32.289,20.2,28.3,120
2021-11-17 15:12:30.012,20.2,28.3,119
2021-11-17 15:12:27.734,20.2,28.3,119
2021-11-17 15:12:25.456,20.2,28.4,119
2021-11-17 15:12:23.179,20.2,28.4,121
2021-11-17 15:12:20.901,20.2,28.5,120
2021-11-17 15:12:18.624,20.3,28.6,120
2021-11-17 15:12:16.346,20.2,28.6,119
2021-11-17 15:12:14.068,20.2,28.6,119
2021-11-17 15:12:11.786,20.2,28.7,120
2021-11-17 15:12:09.509,20.2,28.7,121
2021-11-17 15:12:07.231,20.2,28.8,120
2021-11-17 15:12:04.954,20.2,28.8,119
2021-11-17 15:12:02.676,20.2,28.8,121
2021-11-17 15:12:00.398,20.2,28.8,121
2021-11-17 15:11:58.121,20.2,28.8,121
2021-11-17 15:11:55.843,20.2,28.9,120
2021-11-17 15:11:53.565,20.2,28.9,119
2021-11-17 15:11:51.288,20.1,28.9,120
2021-11-17 15:11:49.010,20.1,28.8,119
2021-11-17 15:11:46.733,20.1,28.8,121
2021-11-17 15:11:44.455,20.1,28.8,120
2021-11-17 15:11:42.177,20.1,28.7,119
2021-11-17 15:11:39.900,20.1,28.7,121
2021-11-17 15:11:37.622,20.1,28.7,121
2021-11-17 15:11:35.344,20.1,28.6,121
2021-11-17 15:11:33.067,20.1,28.5,120
2021-11-17 15:11:30.785,20.1,28.5,119
2021-11-17 15:11:28.508,20.1,28.5,120
2021-11-17 15:11:26.230,20.1,28.4,121
2021-11-17 15:11:23.952,20.1,28.4,121
2021-11-17 15:11:21.675,20.1,28.4,120
2021-11-17 15:11:19.397,20.2,28.5,118
2021-11-17 15:11:17.119,20.2,28.5,119
2021-11-17 15:11:14.842,20.2,28.5,115
2021-11-17 15:11:12.564,20.2,28.5,118
2021-11-17 15:11:10.287,20.2,28.5,118
2021-11-17 15:11:08.009,20.2,28.5,118
2021-11-17 15:11:05.731,20.2,28.5,118
2021-11-17 15:11:03.454,20.2,28.5,118
2021-11-17 15:11:01.176,20.2,28.5,118
2021-11-17 15:10:58.898,20.2,28.5,119
2021-11-17 15:10:56.621,20.2,28.5,118
2021-11-17 15:10:54.343,20.2,28.5,119
2021-11-17 15:10:52.062,20.2,28.6,118
2021-11-17 15:10:49.784,20.2,28.6,118
2021-11-17 15:10:47.506,20.2,28.6,118
2021-11-17 15:10:45.229,20.2,28.6,119
2021-11-17 15:10:42.951,20.2,28.6,119
2021-11-17 15:10:40.674,20.2,28.7,118
2021-11-17 15:10:38.396,20.2,28.7,119
2021-11-17 15:10:36.118,20.2,28.7,119
2021-11-17 15:10:33.841,20.2,28.8,119
2021-11-17 15:10:31.563,20.2,28.8,119
2021-11-17 15:10:29.285,20.2,28.8,119
2021-11-17 15:10:27.008,20.1,28.8,119
2021-11-17 15:10:24.730,20.1,28.8,120
2021-11-17 15:10:22.453,20.1,28.8,119
2021-11-17 15:10:20.175,20.1,28.8,119
2021-11-17 15:10:17.897,20.1,28.8,120
2021-11-17 15:10:15.620,20.1,28.8,119
2021-11-17 15:10:13.342,20.0,28.7,119
2021-11-17 15:10:11.065,20.1,28.8,120
2021-11-17 15:10:08.783,20.0,28.7,119
2021-11-17 15:10:06.505,20.0,28.7,118
2021-11-17 15:10:04.228,20.0,28.7,118
2021-11-17 15:10:01.950,20.0,28.7,118
2021-11-17 15:09:59.672,20.0,28.7,117
2021-11-17 15:09:57.395,20.0,28.7,136
2021-11-17 15:09:55.117,20.0,28.7,118
2021-11-17 15:09:52.840,20.0,28.7,117
2021-11-17 15:09:50.562,20.0,28.7,118
2021-11-17 15:09:48.284,20.0,28.7,118
2021-11-17 15:09:46.007,20.0,28.7,118
2021-11-17 15:09:43.729,20.0,28.7,118
2021-11-17 15:09:41.451,20.0,28.7,117
2021-11-17 15:09:39.174,20.0,28.7,117
2021-11-17 15:09:36.896,20.0,28.7,117
2021-11-17 15:09:34.619,20.0,28.7,117
2021-11-17 15:09:32.341,20.0,28.7,117
2021-11-17 15:09:30.063,20.0,28.7,117
2021-11-17 15:09:27.786,20.0,28.7,117
2021-11-17 15:09:25.504,20.0,28.6,117
2021-11-17 15:09:23.226,20.0,28.6,117
2021-11-17 15:09:20.949,20.0,28.6,117
2021-11-17 15:09:18.671,20.0,28.5,117
2021-11-17 15:09:16.394,20.0,28.5,117
2021-11-17 15:09:14.116,20.0,28.5,117
2021-11-17 15:09:11.838,20.0,28.5,117
2021-11-17 15:09:09.561,20.0,28.5,118
2021-11-17 15:09:07.283,20.0,28.4,118
2021-11-17 15:09:05.005,20.0,28.4,115
2021-11-17 15:09:02.728,20.0,28.4,120
2021-11-17 15:09:00.450,20.0,28.4,117
